time(s)	MFC1 (Wet)	MFC2 (Dry)	MFC3 (O2)	MFC4 (CO2)	MFC5	MFC6	Valve 1	Valve 2	Total Flow (cc)	Gas	Concentration of Gas (%)	Time(s)	RH (%)	Temperature (C )	Include								MFC1 cc/min	MFC2	MFC3	MFC4	MFC5	MFC6	MFC7	total flow	% moist	% dry
300	0.625	2.850	0.447	0.000	0.00	0	0	1	500	O2	18	300	25	20	0																	
300	0.625	2.650	0.546	0.000	0.00	0	0	1	500	O2	22	300	25	20	0																	
300	0.625	2.450	0.645	0.000	0.00	0	0	1	500	O2	26	300	25	20	0																	
300	0.625	2.250	0.745	0.000	0.00	0	0	1	500	O2	30	300	25	20	0																	
300	0.625	2.000	0.869	0.000	0.00	0	0	1	500	O2	35	300	25	20	0																	
300	0.625	1.750	0.993	0.000	0.00	0	0	1	500	O2	40	300	25	20	0																	
300	0.625	1.500	1.117	0.000	0.00	0	0	1	500	O2	45	300	25	20	0																	
300	0.625	1.250	1.241	0.000	0.00	0	0	1	500	O2	50	300	25	20	0																	
600	0.625	2.850	0.447	0.000	0.00	0	0	1	500	O2	18	600	25	20	0																	
300	0.625	2.850	0.447	0.000	0.00	0	0	1	500	O2	18	300	25	20	0																	
300	0.625	2.850	0.447	0.000	0.00	0	0	1	500	O2	18	300	25	20	0																	
300	0.625	2.850	0.447	0.000	0.00	0	0	1	500	O2	18	300	25	20	1																	
300	0.625	2.650	0.546	0.000	0.00	0	0	1	500	O2	22	300	25	20	1																	
300	0.625	2.450	0.645	0.000	0.00	0	0	1	500	O2	26	300	25	20	1																	
300	0.625	2.250	0.745	0.000	0.00	0	0	1	500	O2	30	300	25	20	1																	
300	0.625	2.000	0.869	0.000	0.00	0	0	1	500	O2	35	300	25	20	1																	
300	0.625	1.750	0.993	0.000	0.00	0	0	1	500	O2	40	300	25	20	1																	
300	0.625	1.500	1.117	0.000	0.00	0	0	1	500	O2	45	300	25	20	1																	
300	0.625	1.250	1.241	0.000	0.00	0	0	1	500	O2	50	300	25	20	1																	
600	0.625	2.850	0.447	0.000	0.00	0	0	1	500	O2	18	600	25	20	0	12600	210															
6000	0.625	2.850	0.447	0.000	0.00	0	0	1	500	O2	18	6000	25	28	0																	
600	0.625	2.850	0.447	0.000	0.00	0	0	1	500	O2	18	600	25	28	0																	
300	0.625	2.850	0.447	0.000	0.00	0	0	1	500	O2	18	300	25	28	0																	
300	0.625	2.850	0.447	0.000	0.00	0	0	1	500	O2	18	300	25	28	0																	
300	0.625	2.850	0.447	0.000	0.00	0	0	1	500	O2	18	300	25	28	0																	
300	0.625	2.650	0.546	0.000	0.00	0	0	1	500	O2	22	300	25	28	0																	
300	0.625	2.450	0.645	0.000	0.00	0	0	1	500	O2	26	300	25	28	0																	
300	0.625	2.250	0.745	0.000	0.00	0	0	1	500	O2	30	300	25	28	0																	
300	0.625	2.000	0.869	0.000	0.00	0	0	1	500	O2	35	300	25	28	0																	
300	0.625	1.750	0.993	0.000	0.00	0	0	1	500	O2	40	300	25	28	0																	
300	0.625	1.500	1.117	0.000	0.00	0	0	1	500	O2	45	300	25	28	0																	
300	0.625	1.250	1.241	0.000	0.00	0	0	1	500	O2	50	300	25	28	0																	
600	0.625	2.850	0.447	0.000	0.00	0	0	1	500	O2	18	600	25	28	0																	
300	0.625	2.850	0.447	0.000	0.00	0	0	1	500	O2	18	300	25	28	0																	
300	0.625	2.850	0.447	0.000	0.00	0	0	1	500	O2	18	300	25	28	0																	
300	0.625	2.850	0.447	0.000	0.00	0	0	1	500	O2	18	300	25	28	1																	
300	0.625	2.650	0.546	0.000	0.00	0	0	1	500	O2	22	300	25	28	1																	
300	0.625	2.450	0.645	0.000	0.00	0	0	1	500	O2	26	300	25	28	1																	
300	0.625	2.250	0.745	0.000	0.00	0	0	1	500	O2	30	300	25	28	1																	
300	0.625	2.000	0.869	0.000	0.00	0	0	1	500	O2	35	300	25	28	1																	
300	0.625	1.750	0.993	0.000	0.00	0	0	1	500	O2	40	300	25	28	1																	
300	0.625	1.500	1.117	0.000	0.00	0	0	1	500	O2	45	300	25	28	1																	
300	0.625	1.250	1.241	0.000	0.00	0	0	1	500	O2	50	300	25	28	1																	
600	0.625	2.850	0.447	0.000	0.00	0	0	1	500	O2	18	600	25	28	0	13800	230															
4800	0.625	2.850	0.447	0.000	0.00	0	0	1	500	O2	18	4800	25	32	0																	
600	0.625	2.850	0.447	0.000	0.00	0	0	1	500	O2	18	600	25	32	0																	
300	0.625	2.850	0.447	0.000	0.00	0	0	1	500	O2	18	300	25	32	0																	
300	0.625	2.850	0.447	0.000	0.00	0	0	1	500	O2	18	300	25	32	0																	
300	0.625	2.850	0.447	0.000	0.00	0	0	1	500	O2	18	300	25	32	0																	
300	0.625	2.650	0.546	0.000	0.00	0	0	1	500	O2	22	300	25	32	0																	
300	0.625	2.450	0.645	0.000	0.00	0	0	1	500	O2	26	300	25	32	0																	
300	0.625	2.250	0.745	0.000	0.00	0	0	1	500	O2	30	300	25	32	0																	
300	0.625	2.000	0.869	0.000	0.00	0	0	1	500	O2	35	300	25	32	0																	
300	0.625	1.750	0.993	0.000	0.00	0	0	1	500	O2	40	300	25	32	0																	
300	0.625	1.500	1.117	0.000	0.00	0	0	1	500	O2	45	300	25	32	0																	
300	0.625	1.250	1.241	0.000	0.00	0	0	1	500	O2	50	300	25	32	0																	
600	0.625	2.850	0.447	0.000	0.00	0	0	1	500	O2	18	600	25	32	0																	
300	0.625	2.850	0.447	0.000	0.00	0	0	1	500	O2	18	300	25	32	0																	
300	0.625	2.850	0.447	0.000	0.00	0	0	1	500	O2	18	300	25	32	0																	
300	0.625	2.850	0.447	0.000	0.00	0	0	1	500	O2	18	300	25	32	1																	
300	0.625	2.650	0.546	0.000	0.00	0	0	1	500	O2	22	300	25	32	1																	
300	0.625	2.450	0.645	0.000	0.00	0	0	1	500	O2	26	300	25	32	1																	
300	0.625	2.250	0.745	0.000	0.00	0	0	1	500	O2	30	300	25	32	1																	
300	0.625	2.000	0.869	0.000	0.00	0	0	1	500	O2	35	300	25	32	1																	
300	0.625	1.750	0.993	0.000	0.00	0	0	1	500	O2	40	300	25	32	1																	
300	0.625	1.500	1.117	0.000	0.00	0	0	1	500	O2	45	300	25	32	1																	
300	0.625	1.250	1.241	0.000	0.00	0	0	1	500	O2	50	300	25	32	1																	
600	0.625	2.850	0.447	0.000	0.00	0	0	1	500	O2	18	600	25	32	0	12600	210															
6000	0.625	2.850	0.447	0.000	0.00	0	0	1	500	O2	18	6000	25	24	0																	
600	0.625	2.850	0.447	0.000	0.00	0	0	1	500	O2	18	600	25	24	0																	
300	0.625	2.850	0.447	0.000	0.00	0	0	1	500	O2	18	300	25	24	0																	
300	0.625	2.850	0.447	0.000	0.00	0	0	1	500	O2	18	300	25	24	0																	
300	0.625	2.850	0.447	0.000	0.00	0	0	1	500	O2	18	300	25	24	0																	
300	0.625	2.650	0.546	0.000	0.00	0	0	1	500	O2	22	300	25	24	0																	
300	0.625	2.450	0.645	0.000	0.00	0	0	1	500	O2	26	300	25	24	0																	
300	0.625	2.250	0.745	0.000	0.00	0	0	1	500	O2	30	300	25	24	0																	
300	0.625	2.000	0.869	0.000	0.00	0	0	1	500	O2	35	300	25	24	0																	
300	0.625	1.750	0.993	0.000	0.00	0	0	1	500	O2	40	300	25	24	0																	
300	0.625	1.500	1.117	0.000	0.00	0	0	1	500	O2	45	300	25	24	0																	
300	0.625	1.250	1.241	0.000	0.00	0	0	1	500	O2	50	300	25	24	0																	
600	0.625	2.850	0.447	0.000	0.00	0	0	1	500	O2	18	600	25	24	0																	
300	0.625	2.850	0.447	0.000	0.00	0	0	1	500	O2	18	300	25	24	0																	
300	0.625	2.850	0.447	0.000	0.00	0	0	1	500	O2	18	300	25	24	0																	
300	0.625	2.850	0.447	0.000	0.00	0	0	1	500	O2	18	300	25	24	1																	
300	0.625	2.650	0.546	0.000	0.00	0	0	1	500	O2	22	300	25	24	1																	
300	0.625	2.450	0.645	0.000	0.00	0	0	1	500	O2	26	300	25	24	1																	
300	0.625	2.250	0.745	0.000	0.00	0	0	1	500	O2	30	300	25	24	1																	
300	0.625	2.000	0.869	0.000	0.00	0	0	1	500	O2	35	300	25	24	1																	
300	0.625	1.750	0.993	0.000	0.00	0	0	1	500	O2	40	300	25	24	1																	
300	0.625	1.500	1.117	0.000	0.00	0	0	1	500	O2	45	300	25	24	1																	
300	0.625	1.250	1.241	0.000	0.00	0	0	1	500	O2	50	300	25	24	1																	
600	0.625	2.850	0.447	0.000	0.00	0	0	1	500	O2	18	600	25	24	0	13800	230															
4800	0.625	2.850	0.447	0.000	0.00	0	0	1	500	O2	18	4800	25	20	0																	
600	0.625	2.850	0.447	0.000	0.00	0	0	1	500	O2	18	600	25	20	0																	
300	0.625	2.850	0.447	0.000	0.00	0	0	1	500	O2	18	300	25	20	0																	
300	0.625	2.850	0.447	0.000	0.00	0	0	1	500	O2	18	300	25	20	0																	
300	0.625	2.850	0.447	0.000	0.00	0	0	1	500	O2	18	300	25	20	0																	
300	0.625	2.650	0.546	0.000	0.00	0	0	1	500	O2	22	300	25	20	0																	
300	0.625	2.450	0.645	0.000	0.00	0	0	1	500	O2	26	300	25	20	0																	
300	0.625	2.250	0.745	0.000	0.00	0	0	1	500	O2	30	300	25	20	0																	
300	0.625	2.000	0.869	0.000	0.00	0	0	1	500	O2	35	300	25	20	0																	
300	0.625	1.750	0.993	0.000	0.00	0	0	1	500	O2	40	300	25	20	0																	
300	0.625	1.500	1.117	0.000	0.00	0	0	1	500	O2	45	300	25	20	0																	
300	0.625	1.250	1.241	0.000	0.00	0	0	1	500	O2	50	300	25	20	0																	
600	0.625	2.850	0.447	0.000	0.00	0	0	1	500	O2	18	600	25	20	0																	
300	0.625	2.850	0.447	0.000	0.00	0	0	1	500	O2	18	300	25	20	0																	
300	0.625	2.850	0.447	0.000	0.00	0	0	1	500	O2	18	300	25	20	0																	
300	0.625	2.850	0.447	0.000	0.00	0	0	1	500	O2	18	300	25	20	1																	
300	0.625	2.650	0.546	0.000	0.00	0	0	1	500	O2	22	300	25	20	1																	
300	0.625	2.450	0.645	0.000	0.00	0	0	1	500	O2	26	300	25	20	1																	
300	0.625	2.250	0.745	0.000	0.00	0	0	1	500	O2	30	300	25	20	1																	
300	0.625	2.000	0.869	0.000	0.00	0	0	1	500	O2	35	300	25	20	1																	
300	0.625	1.750	0.993	0.000	0.00	0	0	1	500	O2	40	300	25	20	1																	
300	0.625	1.500	1.117	0.000	0.00	0	0	1	500	O2	45	300	25	20	1																	
300	0.625	1.250	1.241	0.000	0.00	0	0	1	500	O2	50	300	25	20	1																	
600	0.625	2.850	0.447	0.000	0.00	0	0	1	500	O2	18	600	25	20	0	12600	210															
3600000	0.625	2.850	0.447	0.000	0.00	0	0	1	500	O2	18	3600000	25	20	0																	
																																
																Total time:	130801	s														
																	2180.016667	min														
																	36.33361111	h														
